avg_backers_per_pledge_tier,avg_pledge_amount_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,featured_project,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_pledge_backers,num_pledge_tiers,num_updates,owner,project_img,project_video,state,status,title
3.0,381.05,2019-05-03,2019-04-08,Plays,Guadalajara,Una puesta en escena sobre el reencuentro de un matrimonio perdido.,67,"{50: 10, 500: 3, 1: 1, 3: 1, 5: 0}",0,971,MX$,8000,100.03,8002,21,0,1,0,15,5,1,Darío Rocas,3,1,Mexico,Funding Successful,La Piel de Metal
5.57,46.88,2019-05-01,2019-03-25,Architecture,Dundee,17 Final year IED students need your help to launch our design careers by funding our Degree Show and New Designers exhibition.,127,"{10: 14, 25: 10, 50: 8, 100: 6, 200: 1, 500: 0}",0,3239,£,3000,100.0,3000,64,4,1,0,39,7,0,Blair Boyle,5,1,UK,Funding Successful,DJCAD Interior Environmental Design 2019 Degree Show
0.0,15.5,2019-05-01,2019-04-01,Publishing,Deutsch,"I wrote this book, because it is about an unbelievable life story. My life story.",81,"{1: 0, 15: 0, 20: 0, 25: 0, 30: 0, 40: 0, 100: 0, 400: 0}",0,1608,€,50000,0.06,31,2,0,First created,0,0,8,0,Petra Koehl,0,1,Germany,Cancelled by Creator,Burned Soul - The Inherited Sin
0.0,1.0,2019-05-02,2019-04-02,Accessories,Milan,Discover the world of Kiribaty jewels with top quality products.,64,"{10: 0, 25: 0, 30: 0}",0,969,€,2500,0.04,1,1,0,First created,1,0,3,0,Giulio,7,1,Italy,Funding Unsuccessful,Kiribaty Accessories
83.84,92.66,2019-05-01,2019-04-01,Punk,Los Angeles,A Sci-Fi Punk Rockumentary,26,"{25: 122, 40: 671, 50: 58, 65: 127, 80: 329, 100: 160, 150: 40, 300: 75, 500: 3, 1: 6, 5: 1, 10: 1}",0,3810,$,175000,86.62,151587,1636,36,First created,0,1593,19,3,Pyramid House,14,1,CA,Funding Unsuccessful,OFF! Presents Watermelon: The Movie
0.71,1019.83,2019-05-03,2019-04-01,Technology,Mexico,Como integrantes de Potrosports nuestra misión es el diseño de un vehículo automotriz poniendo en práctica los conocimientos escolares.,135,"{50: 1, 100: 0, 300: 1, 500: 1, 1: 1, 3: 1, 5: 0}",0,1885,MX$,30000,20.4,6119,6,0,First created,0,5,7,1,José Sergio Chaparro Castro,1,0,Mexico,Funding Unsuccessful,Potrosports
5.0,51.9,2019-05-02,2019-04-02,Music,New Orleans,"Expansion of our storefront to allow for more in store shows, etc.",66,"{10: 17, 35: 6, 50: 1, 100: 4, 200: 1, 500: 1}",1,769,$,2000,106.4,2128,41,0,1,0,30,6,0,The White Roach Records,1,0,LA,Funding Successful,The White Roach is Expanding!
35.32,97.43,2019-05-01,2019-04-01,Film & Video,New York,"A two-disc Blu-Ray or DVD boxed-set of my film, SURVIVING DESIRE, and other short subjects newly restored in HD.",112,"{10: 7, 15: 6, 20: 9, 25: 1, 30: 4, 40: 2, 45: 186, 50: 104, 60: 193, 75: 90, 125: 30, 250: 27, 500: 5, 1: 7}",1,1145,$,60000,110.91,66548,683,46,1,0,671,19,25,Hal Hartley,5,1,NY,Funding Successful,SURVIVING DESIRE (& Company)
9.86,39.53,2019-05-01,2019-04-01,Tabletop Games,Paris,Say hello to Spring!,20,"{1: 13, 35: 36, 40: 3, 50: 17, 120: 0}",0,789,€,17500,16.26,2846,72,13,2,1,69,7,5,Agie Games,10,1,France,Cancelled by Creator,Botanists
0.8,56.56,2019-05-01,2019-04-01,Publishing,Harker Heights,A book in search of publication--it features a look at one possible future for the United States.,97,"{5: 1, 10: 0, 25: 1, 40: 2, 100: 0}",0,5867,$,500,101.8,509,9,0,1,0,4,5,7,Teresa Cage,10,1,TX,Funding Successful,"""Freedom Dies"" a Political Thriller"
